,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,-6.912,0.1,0.6,0.8,0.557,0.667
1,-6.802,0.5,0.4,0.25,0.575,0.333
3,-6.576,1,0.45,1.0,0.45,0.621
2,-6.274,1.5,0.55,0.667,0.483,0.571
5,-5.733,2,0.7,0.444,0.606,0.571
4,-5.239,2.5,0.85,0.917,0.826,0.88
7,-4.696,3,0.9,0.9,0.86,0.9
6,-4.061,3.5,1.0,1.0,1.0,1.0
8,-3.536,4,1.0,1.0,1.0,1.0
