,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,-6.912,0.1,0.44,0.47,0.501,0.311
1,-6.802,0.5,0.485,0.46,0.525,0.378
3,-6.576,1,0.425,0.53,0.518,0.343
2,-6.274,1.5,0.415,0.61,0.494,0.398
5,-5.733,2,0.77,0.951,0.73,0.814
4,-5.239,2.5,0.905,0.855,0.898,0.858
7,-4.696,3,0.985,0.978,0.977,0.983
6,-4.061,3.5,0.995,0.99,0.995,0.995
8,-3.536,4,1.0,1.0,1.0,1.0
