,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,-6.912,0.1,0.495,0.458,0.522,0.381
1,-6.802,0.5,0.435,0.579,0.488,0.449
3,-6.576,1,0.59,0.581,0.572,0.562
2,-6.274,1.5,0.615,0.467,0.597,0.54
5,-5.733,2,0.86,0.865,0.812,0.856
4,-5.239,2.5,0.95,0.954,0.932,0.951
7,-4.696,3,0.965,0.957,0.948,0.962
6,-4.061,3.5,0.995,0.989,0.994,0.994
8,-3.536,4,1.0,1.0,1.0,1.0
