,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,-6.912,0.1,0.505,0.772,0.512,0.568
1,-6.802,0.5,0.465,0.647,0.507,0.486
3,-6.576,1,0.635,0.743,0.584,0.662
2,-6.274,1.5,0.675,0.571,0.639,0.628
5,-5.733,2,0.835,0.851,0.772,0.829
4,-5.239,2.5,0.975,0.969,0.959,0.969
7,-4.696,3,0.96,0.95,0.917,0.941
6,-4.061,3.5,0.99,0.987,0.997,0.993
8,-3.536,4,0.99,0.978,0.988,0.988
