,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,0.142,0.1,0.455,0.37,0.513,0.256
1,0.144,0.5,0.38,0.46,0.506,0.259
3,0.148,1,0.48,0.55,0.516,0.417
2,0.154,1.5,0.44,0.45,0.528,0.306
5,0.162,2,0.74,0.813,0.727,0.732
4,0.172,2.5,0.97,0.974,0.964,0.973
7,0.184,3,0.975,0.978,0.961,0.974
6,0.197,3.5,1.0,1.0,1.0,1.0
8,0.210,4,1.0,1.0,1.0,1.0
