,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,0.142,0.1,0.485,0.761,0.505,0.555
1,0.144,0.5,0.445,0.487,0.491,0.404
3,0.148,1,0.565,0.586,0.538,0.56
2,0.154,1.5,0.635,0.57,0.604,0.596
5,0.162,2,0.855,0.858,0.789,0.846
4,0.172,2.5,0.965,0.959,0.958,0.967
7,0.184,3,0.965,0.954,0.961,0.966
6,0.197,3.5,0.995,0.989,0.994,0.994
8,0.210,4,1.0,1.0,1.0,1.0
