,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,0.142,0.1,0.47,0.773,0.501,0.553
1,0.144,0.5,0.49,0.746,0.502,0.571
3,0.148,1,0.58,0.669,0.553,0.603
2,0.154,1.5,0.675,0.579,0.637,0.619
5,0.162,2,0.855,0.842,0.801,0.841
4,0.172,2.5,0.965,0.959,0.953,0.964
7,0.184,3,0.975,0.974,0.973,0.978
6,0.197,3.5,1.0,1.0,1.0,1.0
8,0.210,4,1.0,1.0,1.0,1.0
