,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,0.142,0.1,0.5,0.628,0.518,0.493
1,0.144,0.5,0.48,0.671,0.511,0.52
3,0.148,1,0.61,0.726,0.57,0.628
2,0.154,1.5,0.69,0.678,0.677,0.67
5,0.162,2,0.835,0.85,0.765,0.824
4,0.172,2.5,0.965,0.942,0.945,0.957
7,0.184,3,0.98,0.982,0.974,0.98
6,0.197,3.5,0.99,0.98,0.99,0.989
8,0.210,4,1.0,1.0,1.0,1.0
