,SNR,IMP_AMP,ACC,RECALL,PRECISION,F1_SCORE
0,-6.912,0.1,0.25,0.3,0.432,0.286
1,-6.802,0.5,0.45,1.0,0.45,0.621
3,-6.576,1,0.35,0.0,0.65,0.0
2,-6.274,1.5,0.3,1.0,0.3,0.462
5,-5.733,2,0.35,0.0,0.65,0.0
4,-5.239,2.5,0.35,1.0,0.35,0.519
7,-4.696,3,1.0,1.0,1.0,1.0
6,-4.061,3.5,1.0,1.0,1.0,1.0
8,-3.536,4,1.0,1.0,1.0,1.0
